file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
kaydasheva_s002279,0.0,13.7998125,corpus,-48.59836390398551,-51.74804071017674,6.1359698729992065,6.5052784848787155
kaydasheva_s000901,0.0,4.3638125,corpus,-32.37256083357225,-42.166229367256165,6.117057706300155,21.109489916397376
kaydasheva_s002123,0.0,8.1998125,corpus,-45.425342987804875,-52.69343715243869,6.1086493795918315,10.673463313647744
kaydasheva_s000823,0.0,3.61375,corpus,-37.76056905730609,-46.8437393506368,6.098965215296398,20.090168874207755
kaydasheva_s001870,0.0,5.4098125,corpus,-39.990869772412196,-45.64394205266779,6.096946574834681,16.755989007658044
kaydasheva_s000285,0.0,2.7778125,corpus,-34.57448923673561,-50.69582516214122,6.096945373491598,18.14580988920592
kaydasheva_s000637,0.0,10.6598125,corpus,-44.78822335248593,-46.89819225397977,6.096945373491598,17.290125022956836
kaydasheva_s002295,0.0,11.45775,corpus,-49.885096258726,-53.464824893257834,6.096942970805434,14.171630855696774
kaydasheva_s002002,0.0,6.4398125,corpus,-41.01955247961956,-43.739742279052734,5.989405007964186,18.891092581509817
kaydasheva_s000972,0.0,11.5668125,corpus,-44.32983672752809,-46.97722770951011,5.989405007964186,20.640804019019832
kaydasheva_s000422,0.0,7.6608125,corpus,-42.60646316090078,-48.07634872114155,5.9659813249233045,20.22513272247798
kaydasheva_s000898,0.0,12.2508125,corpus,-50.47173788265306,-53.39884923299154,5.965062083000248,18.333280524652423
kaydasheva_s000663,0.0,12.4698125,corpus,-42.96951120188452,-45.15270114181065,5.950073525036898,21.989167318458023
kaydasheva_s001353,0.0,11.1098125,corpus,-44.24635744824482,-47.28537130355835,5.942233564017653,19.6137506698521
kaydasheva_s000650,0.0,9.2218125,corpus,-44.816906182212584,-48.070387447581574,5.942224188716814,18.430221792895566
kaydasheva_s000551,0.0,13.4858125,corpus,-45.20489425037064,-47.56529852294922,5.929763461370272,17.44365503499357
kaydasheva_s000273,0.0,14.8198125,corpus,-46.66424173414305,-45.498075420573606,5.929763461370272,3.926322300530522
kaydasheva_s001157,0.0,11.0198125,corpus,-45.847507372958255,-48.38314433933533,5.902216825013418,17.12746864521253
kaydasheva_s000367,0.0,4.3198125,corpus,-40.616256148726855,-48.738701600294846,5.902211682508683,28.602859928441266
kaydasheva_s000649,0.0,12.4298125,corpus,-40.54138173773129,-44.01345584918926,5.900408285096954,17.32151418896089
kaydasheva_s000179,0.0,13.4458125,corpus,-44.33622792750929,-46.64006713807114,5.895396044582126,15.187307764716271
kaydasheva_s001376,0.0,6.5398125,corpus,-49.267321292048926,-54.95020132353812,5.891623544823813,7.024390648918168
kaydasheva_s000726,0.0,20.6618125,corpus,-44.07958464424008,-46.959090668814525,5.874447633563136,19.1869982839877
kaydasheva_s001067,0.0,8.2448125,corpus,-41.82285819933252,-44.15184386831815,5.865736401082254,17.941453813296334
kaydasheva_s002103,0.0,12.9998125,corpus,-43.74654747596154,-45.220312450871326,5.865725812187806,21.51747828967204
kaydasheva_s000589,0.0,9.1198125,corpus,-43.24172920093202,-48.876484706484035,5.865725812187806,7.630275113797799
